object_type	number	title	author	state	created_at	closed_at	merged	head_sha	base_sha	commits	changed_files	additions	deletions	source_url	custody_note
issue	13	Hasher::new_derive_key accepts a str, why not [u8]?	WildCryptoFox	closed	2020-01-10T16:06:55Z	2020-02-04T15:11:43Z								https://github.com/BLAKE3-team/BLAKE3/issues/13	closed by oconnor663; later same class of use case appears in comments
issue	70	How to modify number of rounds we hash?	FlogramMatt	closed	2020-03-22T20:54:28Z	2020-04-15T19:45:04Z								https://github.com/BLAKE3-team/BLAKE3/issues/70	closed by oconnor663
issue	82	Use of incremental/chunk-based verification	17dec	open	2020-04-27T17:03:46Z									https://github.com/BLAKE3-team/BLAKE3/issues/82	tree/Bao/guts/external fork lineage
issue	98	Unkeyed hash of singleblock message	funny-falcon	closed	2020-07-11T12:46:59Z	2020-07-11T13:19:53Z								https://github.com/BLAKE3-team/BLAKE3/issues/98	self-closed by reporter
issue	107	Digest size	philiprbrenan	open	2020-08-19T16:58:01Z									https://github.com/BLAKE3-team/BLAKE3/issues/107	output-size documentation
issue	123	possible for blake3 to have 224 bit?	gitmko0	closed	2020-10-13T11:51:08Z	2020-10-13T15:00:18Z								https://github.com/BLAKE3-team/BLAKE3/issues/123	short-output security; sneves participates
issue	138	BLAKE3 should have a committing deterministic authenticated cipher	riastradh	open	2020-12-04T17:28:08Z									https://github.com/BLAKE3-team/BLAKE3/issues/138	domain separation / related-key / Bessie reference
issue	163	Question: Is it possible to have digest return 64 bytes?	FrankC01	closed	2021-03-16T10:23:19Z	2021-03-16T17:12:11Z								https://github.com/BLAKE3-team/BLAKE3/issues/163	XOF/long output
issue	168	Please document collision-resistance properties of BLAKE3 with less than 256 bits	joshtriplett	closed	2021-04-28T09:49:15Z	2021-05-18T17:06:08Z								https://github.com/BLAKE3-team/BLAKE3/issues/168	leads to PR #169 and commit 7cd208af...
issue	194	BLAKE3 collision resistance	abitrolly	closed	2021-09-01T10:01:35Z	2021-09-17T06:58:45Z								https://github.com/BLAKE3-team/BLAKE3/issues/194	self-closed; extended collision/content-addressing discussion
issue	208	b3sum -l 64	g0blin-NN	open	2021-11-08T09:38:52Z									https://github.com/BLAKE3-team/BLAKE3/issues/208	short/long output checkfile semantics
issue	246	Is it possible to adapt BLAKE3 to use 60-bit words?	VictorTaelin	open	2022-05-05T20:23:49Z									https://github.com/BLAKE3-team/BLAKE3/issues/246	variant would be a new hash design
issue	274	Can BLAKE3 have similar security/collision resistance if used like Blake2x?	phantomcraft	closed	2022-11-28T02:37:29Z	2022-11-28T04:22:14Z								https://github.com/BLAKE3-team/BLAKE3/issues/274	self-closed; maintainer answers after correction
issue	278	Minimum crypto secure hash bit length	PavelWolfDark	closed	2022-12-18T01:14:21Z	2022-12-18T10:19:06Z								https://github.com/BLAKE3-team/BLAKE3/issues/278	closed by oconnor663
issue	396	Bitsize of the MAC output of blake3	elichai	open	2024-05-28T10:59:39Z									https://github.com/BLAKE3-team/BLAKE3/issues/396	MAC truncation discussion
issue	436	Provide an API for tree hashing	josnyder-2	open	2024-12-03T00:30:48Z									https://github.com/BLAKE3-team/BLAKE3/issues/436	links #82 and later hazmat v1.8.0
issue	441	Why is the security limited to 256-bit?	ghost	open	2025-01-07T11:31:43Z									https://github.com/BLAKE3-team/BLAKE3/issues/441	public explanation of collision in tree chaining values
issue	504	Security of the BLAKE3::derive_key mode for an encrypt-then-MAC construction	ghost	closed	2025-08-07T08:47:28Z	2025-08-15T07:57:30Z								https://github.com/BLAKE3-team/BLAKE3/issues/504	close actor unavailable in recovered event surface
pr	169	explicitly document the properties of short outputs	oconnor663	merged	2021-04-30T23:41:41Z	2021-05-18T15:02:05Z	true	ffd7699bcf7452d03c4cd1dc75b403bf80389bce	4b7babbe99c04bd573aad49db24484d07c574ae9	1	2	26	4	https://github.com/BLAKE3-team/BLAKE3/pull/169	from issue #168; merge commit 7cd208af...
pr	227	document the extended output security issue found by Aldo Gunsing	oconnor663	merged	2022-03-02T22:47:47Z	2022-03-03T16:56:07Z	true	d295410aad19d70e4b7ab9b93b216a77fb8d40e4	4e84c8c7ae3da71d3aff5ba54d8ffa39a9b90fa0	4	3	38	22	https://github.com/BLAKE3-team/BLAKE3/pull/227	external security finding explicitly documented
pr	329	Add function to efficiently hash entire non-root subtrees to guts	rklaehn	open	2023-07-29T20:55:49Z		false	3e897f7e3858667473c014533e802b42d5d43833	93a431c78a52d7ccf0f366f106467f5070e6075e	5	2	103	7	https://github.com/BLAKE3-team/BLAKE3/pull/329	external tree-hash API input
